RPM,Blair (m),Bell (m),Evanschitzky (m),Evanschitzky Thermal (m)
3000,2.000016499931938,2.054013333333333,2.610968029993059,2.1521723034267786
3500,1.7142998570845185,1.7496971428571428,2.2379725971369075,1.8544003768396162
4000,1.5000123749489536,1.5214599999999998,1.958226022494794,1.6368799035094896
4500,1.3333443332879589,1.3439422222222221,1.7406453533287058,1.4714022232091601
5000,1.2000098999591629,1.2019279999999999,1.5665808179958352,1.3407163549320018
5500,1.090918090871966,1.0857345454545453,1.4241643799962138,1.2341630488132396
6000,1.000008249965969,0.9889066666666665,1.3054840149965294,1.14501494011655
6500,0.9230845384301253,0.9069753846153845,1.205062167689104,1.0688919723458339
7000,0.8571499285422592,0.8367485714285714,1.1189862985684538,1.0028395551913365
7500,0.8000065999727752,0.7758853333333333,1.0443872119972235,0.9447920884362228
8000,0.7500061874744768,0.72263,0.979113011247397,0.8932558342505362
8500,0.7058881764465664,0.67564,0.9215181282328443,0.8471170149991337
9000,0.6666721666439794,0.633871111111111,0.8703226766643529,0.8055224880959979
9500,0.6315841578732436,0.596498947368421,0.824516219997808,0.7678033820020195
10000,0.6000049499795814,0.5628639999999999,0.7832904089979176,0.7334247867162222
10500,0.5714332856948394,0.532432380952381,0.7459908657123024,0.7019516578509502
11000,0.545459045435983,0.5047672727272726,0.7120821899981069,0.6730250785880374
11500,0.5217434347648534,0.47950782608695647,0.6811220947807979,0.6463453128185623
12000,0.5000041249829845,0.4563533333333332,0.6527420074982647,0.6216594245357767
12500,0.48000395998366513,0.43505119999999997,0.6266323271983341,0.5987520421347444
13000,0.46154226921506264,0.41538769230769224,0.602531083844552,0.577476274584684
13500,0.44444811109598625,0.3971807407407407,0.5802151177762352,0.5575890750922834
